type,name,surname,pesel,height,weight,email,current_position_start_date,current_salary,current_position,pension_amount,years_of_work,university_name,year_of_study,field_of_study,scholarship_amount,version
EMPLOYEE,Filip,Kardaszew,86111114578,184.5,88.9,filip.kardaszew@gmail.com,2024-03-03,5500.00,Kontroler Jakosci,,,,,,,
PENSIONER,Natalia,Terentiew,56111118576,167.5,67.8,natalia.terentiew@gmail.com,,,,1650.00,56,,,,,
STUDENT,Robert,Filipiec,98111115778,199.5,95.4,robert.filipiec@gmail.com,,,,,,Politechnika Gdanska,5,Mechanika i Budowa Maszyn,50,
EMPLOYEE,Leon,Koral,88222224578,183.5,88.9,leon.koral@gmail.com,1990-12-22,4500,Psycholog,,,,,,,
PENSIONER,Jan,Filipienko,66222228576,177.5,77.8,jan.filipienko@gmail.com,,,,1300,46,,,,,
STUDENT,Antoni,Wilk,99222225778,190.5,90.4,antoni.wilk@gmail.com,,,,,,Uniwersytet Jagielonski,2,Mechanika i Budowa Maszyn,0,
EMPLOYEE,Nikodem,Nowak,87222224578,184.5,85.9,nikodem.nowak@gmail.com,2016-10-18,6500,Kardiolog,,,,,,,
PENSIONER,Pola,Malec,66222228586,157.5,47.8,pola.malec@gmail.com,,,,1250,40,,,,,
STUDENT,Maria,Szpikulec,98222225788,160.5,50.4,maria.szpikulec@gmail.com,,,,,,Uniwersytet Warszawski,1,Inzynieria Materialowa,500,
EMPLOYEE,Franciszek,Nykiel,78222224578,184.5,86.9,franciszek.nykiel@gmail.com,2022-12-12,3500,Magazynier,,,,,,,
PENSIONER,Ignacy,Grygiel,63222228576,173.5,87.8,ignacy.grygiel@gmail.com,,,,1400,45,,,,,
STUDENT,Jakub,Danielski,99222225778,199.5,80.4,jakub.danielski@gmail.com,,,,,,Politechnika Poznanska,3,Mechatronika,1200,
EMPLOYEE,Mikolaj,Hajzer,86222224578,184.5,88.9,mikolaj.hajzer@gmail.com,2024-03-03,5500.00,Kontroler Jakosci,,,,,,,
PENSIONER,Oliwia,Terentiew,56222228576,167.5,67.8,oliwia.terentiew@gmail.com,,,,1650.00,56,,,,,
STUDENT,Stanislaw,Filipiec,98222225778,199.5,95.4,stanislaw.filipiec@gmail.com,,,,,,Politechnika Gdanska,5,Mechanika i Budowa Maszyn,50,
EMPLOYEE,Krystian,Hars,88113333378,183.5,88.9,krystian.hars@gmail.com,1990-12-22,4500,Psycholog,,,,,,,
PENSIONER,Niko,Matczak,66103333376,177.5,77.8,niko.matczak@gmail.com,,,,1300,46,,,,,
